,feature,importance_mean,importance_std,group,model
34,pitch_mean,4.689582056016661e-14,8.60290919419829e-14,audio_speech,rf_loo
35,rolloff,4.4906300900038334e-14,8.719769336535741e-14,audio_basic,rf_loo
36,visual_entropy,4.483524662646232e-14,6.293676151789537e-14,visual_quality,rf_loo
37,hook_score_x_time_pct,4.433786671143025e-14,8.86757334228605e-14,interaction,rf_loo
38,hook_has_address,4.433786671143025e-14,8.86757334228605e-14,hook,rf_loo
39,cultural_ref_density,4.263256414560601e-14,6.426072450750588e-14,text_content,rf_loo
40,speech_ratio,4.0074610296869655e-14,8.541846764070347e-14,audio_speech,rf_loo
41,rms,3.979039320256561e-14,9.25212863557901e-14,audio_basic,rf_loo
42,neutral,3.836930773104541e-14,8.328094359336396e-14,emotion,rf_loo
43,face_screen_ratio,3.595346242946107e-14,5.2839925102078317e-14,visual_content,rf_loo
45,brightness,3.5811353882309043e-14,5.917178750529776e-14,visual_quality,rf_loo
44,fear,3.5811353882309043e-14,5.917178750529776e-14,emotion,rf_loo
47,hook_has_question,3.5811353882309043e-14,5.917178750529776e-14,hook,rf_loo
46,pause_rate,3.5811353882309043e-14,5.917178750529776e-14,audio_speech,rf_loo
48,pitch_std,3.495870259939693e-14,6.007410872987931e-14,audio_speech,rf_loo
49,music_rms,3.410605131648481e-14,5.283686750145648e-14,audio_music,rf_loo
50,vocal_rms,3.289812866569264e-14,6.417408634211229e-14,audio_vocal,rf_loo
51,radial_ratio,3.169020601490047e-14,5.30573256153306e-14,visual_motion,rf_loo
52,music_rolloff,3.0695446184836324e-14,6.507019871266577e-14,audio_music,rf_loo
54,frame,2.899014361901209e-14,5.696833712303282e-14,visual_motion,rf_loo
53,beat_sync,2.899014361901209e-14,5.696833712303282e-14,audio_music,rf_loo
55,sentiment_polarity,2.870592652470805e-14,6.61218715837675e-14,text_content,rf_loo
56,motion_speed,2.7000623958883806e-14,4.945704116416029e-14,visual_motion,rf_loo
57,cinematic,2.6432189770275728e-14,5.118749079362136e-14,visual_quality,rf_loo
58,centroid,2.607691840239568e-14,6.182767108942832e-14,audio_basic,rf_loo
59,viewer_address,2.607691840239568e-14,6.182767108942832e-14,text_content,rf_loo
60,vocal_centroid,2.4371615836571434e-14,5.730147211377614e-14,audio_vocal,rf_loo
61,disgust,2.387423592153937e-14,6.251742472553597e-14,emotion,rf_loo
62,silence_stretch,1.7053025658242404e-14,6.288845127500886e-14,audio_speech,rf_loo
63,loudness_variance,1.591615728102624e-14,3.1022657134098634e-14,audio_loudness,rf_loo
64,sharpness,1.5347723092418162e-14,3.2535099356332887e-14,visual_quality,rf_loo
65,hook_score,1.3642420526593923e-14,2.728484105318785e-14,hook,rf_loo
66,edit_pace,1.2789769243681804e-14,4.716633845625665e-14,visual_motion,rf_loo
67,speech_complexity,8.24229573481716e-15,4.047874097836922e-14,text_complexity,rf_loo
68,vocal_zcr,4.263256414560601e-15,1.5722112818752214e-14,audio_vocal,rf_loo
69,happy,1.9184653865522706e-15,2.0096681035285012e-14,emotion,rf_loo
