time_sec,baseline_retention,baseline_std
476,71.13,11.69
477,71.11,11.7
478,71.08,11.71
479,71.07,11.71
480,71.06,11.7
481,71.05,11.69
482,71.05,11.68
483,71.04,11.67
484,71.03,11.66
485,71.03,11.64
486,71.02,11.63
487,71.01,11.63
488,71.0,11.62
489,71.0,11.61
490,70.99,11.6
491,70.98,11.59
492,70.97,11.58
493,70.97,11.58
494,70.96,11.57
495,70.95,11.57
496,70.94,11.56
497,70.94,11.56
498,70.93,11.56
499,70.92,11.55
500,70.91,11.55
501,70.9,11.55
502,70.9,11.54
503,70.91,11.53
504,70.91,11.51
505,70.91,11.5
506,70.91,11.49
507,70.92,11.48
508,70.92,11.48
509,70.93,11.47
510,70.93,11.47
511,70.93,11.47
512,70.94,11.47
513,70.95,11.48
514,70.95,11.49
515,70.96,11.49
516,70.96,11.5
517,70.97,11.51
518,70.98,11.52
519,70.98,11.53
520,70.99,11.55
521,70.99,11.56
522,70.98,11.58
523,70.97,11.59
524,70.96,11.61
525,70.94,11.62
526,70.93,11.64
527,70.91,11.66
528,70.9,11.67
529,70.88,11.69
530,70.86,11.7
531,70.84,11.71
532,70.81,11.72
533,70.79,11.73
534,70.77,11.74
535,70.75,11.76
536,70.72,11.77
537,70.7,11.79
538,70.68,11.81
539,70.66,11.83
540,70.63,11.85
541,70.61,11.86
542,70.59,11.86
543,70.56,11.85
544,70.55,11.85
545,70.53,11.84
546,70.51,11.84
547,70.49,11.84
548,70.48,11.84
549,70.46,11.84
550,70.45,11.84
551,70.43,11.85
552,70.42,11.85
553,70.4,11.86
554,70.39,11.87
555,70.38,11.88
556,70.36,11.89
557,70.35,11.91
558,70.33,11.92
559,70.32,11.93
560,70.31,11.95
561,70.3,11.96
562,70.29,11.96
563,70.28,11.97
564,70.27,11.98
565,70.26,11.99
566,70.25,12.0
567,70.24,12.01
568,70.23,12.02
569,70.22,12.03
570,70.21,12.05
571,70.2,12.06
572,70.18,12.08
573,70.17,12.09
574,70.16,12.11
575,70.15,12.13
576,70.13,12.15
577,70.12,12.17
578,70.11,12.19
579,70.09,12.21
580,70.08,12.23
581,70.05,12.22
582,70.03,12.21
583,70.0,12.2
584,69.98,12.18
585,69.95,12.17
586,69.92,12.15
587,69.89,12.14
588,69.87,12.13
589,69.84,12.12
590,69.81,12.11
591,69.79,12.1
592,69.76,12.09
593,69.73,12.09
594,69.7,12.08
595,69.68,12.08
596,69.65,12.07
597,69.62,12.07
598,69.6,12.06
599,69.57,12.06
600,69.56,12.05
601,69.55,12.03
602,69.54,12.02
603,69.53,12.01
604,69.53,11.99
605,69.52,11.98
606,69.52,11.97
607,69.51,11.95
608,69.51,11.94
609,69.5,11.93
610,69.5,11.92
611,69.49,11.91
612,69.49,11.91
613,69.48,11.9
614,69.48,11.89
615,69.48,11.88
616,69.47,11.88
617,69.47,11.87
618,69.46,11.87
619,69.46,11.86
620,69.46,11.83
621,69.45,11.81
622,69.45,11.78
623,69.44,11.75
624,69.44,11.73
625,69.43,11.71
626,69.43,11.69
627,69.42,11.67
628,69.42,11.65
629,69.41,11.64
630,69.41,11.63
631,69.4,11.62
632,69.4,11.61
633,69.4,11.6
634,69.39,11.59
635,69.39,11.58
636,69.39,11.58
637,69.39,11.57
638,69.39,11.57
639,69.39,11.55
640,69.39,11.54
641,69.39,11.52
642,69.4,11.5
643,69.4,11.48
644,69.4,11.46
645,69.4,11.44
646,69.41,11.43
647,69.41,11.41
648,69.41,11.4
649,69.41,11.38
650,69.41,11.37
651,69.42,11.36
652,69.42,11.34
653,69.42,11.33
654,69.42,11.32
655,69.42,11.31
656,69.43,11.3
657,69.43,11.3
658,69.43,11.29
659,69.43,11.29
660,69.43,11.28
661,69.43,11.28
662,69.43,11.28
663,69.43,11.28
664,69.42,11.28
665,69.42,11.28
666,69.42,11.28
667,69.42,11.28
668,69.42,11.28
669,69.41,11.29
670,69.41,11.3
671,69.4,11.3
672,69.4,11.31
673,69.39,11.32
674,69.38,11.34
675,69.36,11.36
676,69.35,11.38
677,69.33,11.4
678,69.32,11.43
679,69.3,11.44
680,69.28,11.45
681,69.26,11.46
682,69.25,11.47
683,69.23,11.48
684,69.21,11.49
685,69.19,11.5
686,69.17,11.51
687,69.16,11.52
688,69.15,11.53
689,69.13,11.53
690,69.12,11.53
691,69.11,11.52
692,69.1,11.52
693,69.09,11.51
694,69.08,11.51
695,69.07,11.5
696,69.07,11.5
697,69.06,11.49
698,69.05,11.49
699,69.04,11.48
700,69.03,11.48
701,69.03,11.47
702,69.02,11.46
703,69.01,11.45
704,69.01,11.44
705,69.0,11.43
706,69.0,11.42
707,68.99,11.41
708,68.98,11.4
709,68.98,11.39
710,68.97,11.38
711,68.96,11.38
712,68.95,11.37
713,68.95,11.37
714,68.94,11.37
715,68.93,11.36
716,68.92,11.36
717,68.92,11.36
718,68.91,11.36
719,68.9,11.36
720,68.89,11.35
721,68.88,11.35
722,68.87,11.34
723,68.86,11.34
724,68.84,11.33
725,68.83,11.32
726,68.82,11.31
727,68.8,11.31
728,68.79,11.3
729,68.78,11.29
730,68.76,11.29
731,68.75,11.28
732,68.74,11.27
733,68.72,11.26
734,68.71,11.26
735,68.7,11.25
736,68.68,11.24
737,68.67,11.24
738,68.66,11.23
739,68.64,11.22
740,68.63,11.22
741,68.62,11.21
742,68.61,11.2
743,68.61,11.2
744,68.6,11.2
745,68.59,11.19
746,68.59,11.18
747,68.59,11.17
748,68.59,11.16
749,68.58,11.15
750,68.58,11.15
751,68.58,11.14
752,68.57,11.13
753,68.57,11.13
754,68.57,11.12
755,68.57,11.12
756,68.56,11.11
757,68.56,11.11
758,68.55,11.11
759,68.55,11.1
760,68.54,11.1
761,68.54,11.09
762,68.53,11.08
763,68.51,11.07
764,68.5,11.06
765,68.49,11.05
766,68.47,11.04
767,68.46,11.03
768,68.45,11.02
769,68.44,11.02
770,68.42,11.01
771,68.41,11.0
772,68.4,11.0
773,68.38,10.99
774,68.37,10.99
775,68.36,10.98
776,68.34,10.98
777,68.33,10.98
778,68.32,10.97
779,68.3,10.97
780,68.29,10.97
781,68.27,10.97
782,68.26,10.97
783,68.24,10.97
784,68.22,10.97
785,68.21,10.98
786,68.19,10.98
787,68.17,10.99
788,68.16,10.99
789,68.14,11.0
790,68.12,11.01
791,68.11,11.02
792,68.09,11.02
793,68.07,11.04
794,68.06,11.05
