,feature,correlation,abs_correlation,p_value,significant,group,method
32,neutral,-0.043458762605429385,0.043458762605429385,1.4109321352154543e-10,True,emotion,spearman
33,music_rms,0.04334056810293151,0.04334056810293151,5.373894530551568e-05,True,audio_music,spearman
34,question_density,0.04173261036650761,0.04173261036650761,7.288600542678648e-10,True,unknown,spearman
35,fear,-0.04167892104610864,0.04167892104610864,7.662689600422597e-10,True,emotion,spearman
36,music_centroid,0.04142019657017501,0.04142019657017501,0.00011355822593528625,True,audio_music,spearman
37,sharpness,0.039960171198602436,0.039960171198602436,3.6822591602309724e-09,True,visual_quality,spearman
38,music_rolloff,0.03852882051518266,0.03852882051518266,0.0003306800735158396,True,audio_music,spearman
39,hook_has_question,0.0382063598433249,0.0382063598433249,1.712153216554397e-08,True,hook,spearman
40,is_ad,-0.03812068848514372,0.03812068848514372,1.8425394168761433e-08,True,ad,spearman
41,sad,-0.03747175248021888,0.03747175248021888,3.19633561697749e-08,True,emotion,spearman
42,ad_segment_length,-0.03741328608698036,0.03741328608698036,3.3574960982911824e-08,True,ad,spearman
43,brightness,0.03726547089179825,0.03726547089179825,3.8008895480609e-08,True,visual_quality,spearman
44,angry,-0.03708341512091457,0.03708341512091457,4.4254402743296177e-08,True,emotion,spearman
45,vocal_centroid,-0.03704618162332075,0.03704618162332075,0.0005569557963678991,True,audio_vocal,spearman
46,speaker_prob,-0.03702721696424028,0.03702721696424028,4.637564977265085e-08,True,visual_content,spearman
47,vocal_rolloff,-0.034658154858407716,0.034658154858407716,0.0012417502528398272,True,audio_vocal,spearman
48,vocal_zcr,-0.03465114902421694,0.03465114902421694,0.0012445892562853763,True,audio_vocal,spearman
49,avg_word_length,0.034278757953650665,0.034278757953650665,4.219157416770748e-07,True,text_complexity,spearman
50,happy,-0.033159785142994926,0.033159785142994926,9.902509500508974e-07,True,emotion,spearman
51,surprise,-0.028319778065271937,0.028319778065271937,2.928075391209202e-05,True,emotion,spearman
52,sentiment_intensity,0.02519642956862086,0.02519642956862086,0.0002008548059860621,True,unknown,spearman
53,speech_ratio,-0.024292205841129972,0.024292205841129972,0.02363769922557823,True,audio_speech,spearman
54,loudness_change,-0.023863084193135507,0.023863084193135507,0.00042970326740635674,True,audio_loudness,spearman
55,lexical_diversity,-0.017846627640703414,0.017846627640703414,0.00845827074689729,True,text_complexity,spearman
56,vocal_rms,0.0167510855271166,0.0167510855271166,0.11867833274002697,False,audio_vocal,spearman
57,sentiment_polarity,0.01591230131159419,0.01591230131159419,0.018886387863168614,True,unknown,spearman
58,bumper_score,0.012427957580752795,0.012427957580752795,0.06670948284887299,False,visual_content,spearman
59,filler_density,0.011656544813736581,0.011656544813736581,0.08546812069958978,False,unknown,spearman
60,disgust,0.009683684019063412,0.009683684019063412,0.15308664912189998,False,emotion,spearman
61,is_ad_x_viewer_address,0.008754261200591109,0.008754261200591109,0.1965017983840167,False,interaction,spearman
62,radial_ratio,-0.0071397679107429906,0.0071397679107429906,0.2921681316538989,False,visual_motion,spearman
63,radial_med,-0.0020518677255036487,0.0020518677255036487,0.762101659172753,False,visual_motion,spearman
64,silence_stretch,-0.0012768593978498886,0.0012768593978498886,0.9053310106823582,False,audio_speech,spearman
65,screencast_prob,-0.0008446129002709141,0.0008446129002709141,0.900832494699057,False,visual_content,spearman
66,music_only,0.0001537918406074589,0.0001537918406074589,0.9885710649660648,False,audio_music,spearman
67,pitch_std,0.0,0.0,1.0,False,audio_speech,spearman
68,voiced_frac,0.0,0.0,1.0,False,audio_speech,spearman
69,pitch_mean,0.0,0.0,1.0,False,audio_speech,spearman
