feature,importance
out__cumulative_info__max,0.05864246464357385
out__chapter_id__median,0.05815240261924566
out__information_density__median,0.05741105068206194
out__ekman_excitement__mean,0.05727427371062528
out__storytelling__mean,0.057194951617901
out__segment_self_similarity__max,0.05713836848355188
out__has_example__q75,0.05674684889874644
out__syntactic_depth__median,0.056705322358019006
out__audio_hook_similarity__min,0.05658576122733182
out__ekman_excitement__std,0.055996893999655586
out__question_density__mean,0.05578583302937966
out__scene_novelty__max,0.055349660870784065
out__n_chapters__q25,0.05514053616479599
out__ekman_joy__q75,0.05496904179841653
out__is_question__mean,0.05464770800569796
out__visual_momentum__q25,0.05384762381033875
out__ad_density_percent__trend,0.053842284139850725
out__topic_change_rate__max,0.053805953250277636
out__n_chapters__q75,0.0537581982767243
out__pause_rate__q75,0.053489563965507435
out__object_count__std,0.053123152474001636
out__visual_topic_shift__q75,0.05288619085125903
out__semantic_momentum__median,0.05252331721576351
out__visual_self_similarity__mean,0.05239468569042509
out__topic_change_rate__mean,0.05227272826346209
out__visual_hook_similarity__mean,0.051981364180716395
out__unique_classes__mean,0.051679833740013816
out__audio_topic_shift__std,0.051153901669176015
out__unique_classes__max,0.05110516396091519
out__is_ad_x_viewer_address__std,0.05108767035771109
out__audio_hook_similarity__median,0.05105151182495451
out__cultural_ref_cnt__max,0.05095528567581383
out__visual_self_similarity__median,0.050763557461442024
out__depth_mean__std,0.05068194506696576
out__topic_shift__q25,0.050298363497645895
out__is_outro__std,0.05012809956069751
out__aesthetic_score__median,0.049967719201655804
out__semantic_momentum__q75,0.04990048344169478
out__ekman_intensity__q25,0.0498676472936904
out__ekman_joy__std,0.04973955831776529
out__semantic_novelty__mean,0.04972249336848787
out__viewer_engagement__max,0.04953623613990437
out__depth_variance__q25,0.04952695997694823
out__aesthetic_score__mean,0.04926674183905343
out__is_intro__mean,0.049220541076807976
out__hook_score__std,0.04917143002822653
out__depth_mean__q25,0.048816095637995015
out__is_ad__trend,0.048495454043047004
out__visual_momentum__q75,0.048055773334515405
out__viewer_engagement__std,0.04788239288888468
out__viewer_engagement__mean,0.047797836963146274
out__avg_word_length__mean,0.04769676510361241
out__information_density__mean,0.047618149804434975
out__ekman_neutral__median,0.04745528552456963
out__chapter_id__q25,0.047365119891050175
out__hook_has_address__q25,0.04724426336941824
out__semantic_novelty__std,0.04698111887260694
out__cumulative_info__std,0.04681428459623281
out__ekman_intensity__std,0.04651206953923326
out__unique_classes__median,0.04627116890318696
out__n_chapters__max,0.04604192776179876
expectation_mismatch_points_count,0.04581823637596012
out__segment_self_similarity__q25,0.04536499536277187
out__ekman_sadness__mean,0.045192330854027504
out__beat_sync__mean,0.045142752454916175
out__visual_self_similarity__q25,0.04493278509175262
out__ekman_neutral__mean,0.04477074933779972
out__hook_similarity__median,0.04465372207281597
out__has_example__mean,0.044575021520250245
out__is_intro__trend,0.04457377046772622
out__depth_variance__q75,0.044236583891260964
out__is_intro__std,0.04385781106846691
out__ad_density_percent__std,0.043841632785863296
out__depth_mean__median,0.043682664725959976
out__scene_novelty__q25,0.04347040865187445
out__is_ad_x_viewer_address__trend,0.043429401820325966
out__cultural_ref_cnt__q75,0.04302464550790559
out__lexical_diversity__median,0.042968192370332746
out__unique_classes__std,0.04288340165739034
out__audio_topic_shift__median,0.04286658852376155
out__depth_variance__median,0.042805652308578815
out__curiosity_gap__std,0.04231547979422583
out__hook_has_address__median,0.042262637760690405
out__cumulative_info__q75,0.042262284838231946
out__semantic_momentum__mean,0.0416560426700448
out__audio_hook_similarity__mean,0.04162686404542035
out__has_example__median,0.04139885831040244
out__information_density__q75,0.04113271862524257
out__n_chapters__min,0.0409191314291048
out__depth_variance__mean,0.04089351296598585
out__audio_self_similarity__q25,0.040798090146977786
out__ekman_intensity__max,0.04053563010165598
out__hook_has_address__min,0.040334449584866885
out__visual_topic_shift__trend,0.03977908047876662
out__hook_similarity__q25,0.03967351594067125
out__n_ad_segments__trend,0.03960746551801437
out__audio_momentum__trend,0.03903733916536861
out__visual_self_similarity__std,0.03853819118284489
out__hook_similarity__std,0.0379759174412302
out__cumulative_info__q25,0.03783532105365571
out__segment_self_similarity__std,0.03740791985632554
