features_file_id,features_status,idx,retention_points_raw,retention_source_file,retention_source_file_id,retention_status,status,transcript_drive_file_id,transcript_filename,transcript_path,transcript_source_type,video_folder
16hfTbK0vagJsiEc9c7P2QTVg9XEYflHK,downloaded,12,101,retention.csv,13sSv-Kv2XlxC-5XkXSQVgNBS9NSedNBe,ok,ok,1tegK1VSsQg9FcWxc1Gjrx21Kw5oEsDrX,whisper_segments.csv,transcripts,csv_timestamps,8__NWVjeyZ8
1kWYsjFBqcGG5zwGDDqHFuZMsK9RwwxKc,downloaded,13,101,retention.csv,1hx9eHU_zM0uw8DI8p4qwh5X-AubShfzp,ok,ok,1THPNvh1yM8Lfllqlt33ZPFFLHd0InZYr,whisper_segments.csv,transcripts,csv_timestamps,8YXWaEo201o
1kpXv3YKNuTyslb_kfM3HI-BEM2yq7SPc,downloaded,14,101,retention.csv,1zmo2M0gxabbVvwfntFngxNHbCFX0NRD4,ok,ok,19Ia-ZCMEQztDTI3eFofAaxEH8aRKT0HJ,whisper_segments.csv,transcripts,csv_timestamps,9B3N8I4Vidc
1NR4kF0OEpwhhLtAaI0X1WeKOqhN1jA4_,downloaded,15,101,retention.csv,1DLBpfUT6c6290WzCMC73vAXiX9Vvm4lW,ok,ok,1IiKZi8-217th25CJVv7Ih2ZaJSKO1fIX,whisper_segments.csv,transcripts,csv_timestamps,b5gAWk2QuSU
1sGiNz_mHLJg4ME31LUhcaq0ZokoIrbPd,downloaded,16,101,retention.csv,1Ig9wZ8RIiuiwTX6vedbfpYZVPJW4pNAH,ok,ok,1NySs4fK_b-lZlv-2AKdrCThhocJXgKzb,whisper_segments.csv,transcripts,csv_timestamps,bK-1Mfb93uA
14514cKgVjjN9q051p05SBOUp9UG_aBkI,downloaded,17,101,retention.csv,1R-4mCZIHPZuaDGu_pIbyEzxnzw9Tv8HZ,ok,ok,1QidJxOlejWcUXWHT9NIBAKXnoN3LNiG9,whisper_segments.csv,transcripts,csv_timestamps,BZEZxzRJ-L4
1RyJL7l0UvXG2jM8fkoso1RiXiqt1chZ5,downloaded,18,101,retention.csv,1xHpkeZQXHmh32poQ1med9jx8CjdMguCz,ok,ok,1bRnTP3v4rUcggRrd8A-ArvPxHrUF1MKE,whisper_segments.csv,transcripts,csv_timestamps,Db6f982wxPg
1wl0plvbia32uMIK9BLU-yxhycBDcKEMr,downloaded,19,101,retention.csv,1vUz0qjvA-tjoGXIJCoxcbUQBAUS5rEhT,ok,ok,1gVX70KoK8NADNqKe-jxplrN7rxjAz_Mp,whisper_segments.csv,transcripts,csv_timestamps,DhFuAhFMvms
1TxN8UpGhg8yWXFtZnmKzm6-ox5XRftzZ,downloaded,20,101,retention.csv,1ICW5qLexSJJ6uzXOFQDi2zGCDHjBSPhj,ok,ok,1JlrvS9zEUNM5jHy8LNiaROGsVb7DyhDh,whisper_segments.csv,transcripts,csv_timestamps,DrS6_CT0XrU
1F_qzjztxHg8yUljgNO7Zjy-yWXnZMte7,downloaded,21,101,retention.csv,1pFCWlIDGx5XkbjU756wkPSN2cOhFSVQt,ok,ok,19_GbRTiYF-v9CF7-sy_NGDzoralueust,whisper_segments.csv,transcripts,csv_timestamps,dx7dMwMXSAA
1miJnaHX2i6jOiHTjrC9ZwyNqc60UuUnT,downloaded,22,101,retention.csv,1W3XaOHk-nW3dJHM4ysHUtxXUoV6keoAt,ok,ok,182zBqSrhFNOhBfzIlril2a3YvTL_8NBH,whisper_segments.csv,transcripts,csv_timestamps,e21aHqRYPKE
1UlRvTl8-xL6oJUbk325l1K1BGgm82GRH,downloaded,23,101,retention.csv,1PbDQp51RtyZAlXMlAxKFyNx-0_oYATv-,ok,ok,184-usIllkr7Qq8RJhTCKOOyicWNqa7t4,whisper_segments.csv,transcripts,csv_timestamps,ECP4p12A5FY
1dc9rKtvzyDU4fT3zGIE2YCJNi9O-wKO1,downloaded,24,101,retention.csv,1P36I4UgXCBZEYIquzXUTcwWSCNCWGB4f,ok,ok,1925xfQfQKxzkFFHZ80OGKdYQz78Dqxi4,whisper_segments.csv,transcripts,csv_timestamps,EFxlvlchMw8
1qozuevtxFb5UgIlFxqvRWAspXq91ZKC5,downloaded,25,101,retention.csv,1C4CIEnUcM7pYT956P6ElsTrMFBreIr0P,ok,ok,1XExmOAaXHvJVAhiH7uYShX5ipunrYQmC,whisper_segments.csv,transcripts,csv_timestamps,EhAdb6fIEe0
1meif3jp_1bVgjJXMC4fu-6qm45uvoxaj,downloaded,26,101,retention.csv,1xzQ9RwlAM5C30swnWrpqpI9uYaFUgGTz,ok,ok,1uZfSOG-BbG-Pnvz0XDGxP9brWvc9OzSP,whisper_segments.csv,transcripts,csv_timestamps,Ei6QuJppkb4
12cxEdEAYjbawAZf7nowEiUVlEYyZgWMV,downloaded,27,101,retention.csv,1qaBRtUmiF7y6FzV3MJMeGbtDWGhyyHcu,ok,ok,1SVbjXtjVqcRrolUDIb0XJFA999FHVNEO,whisper_segments.csv,transcripts,csv_timestamps,eL9OqXpmvOE
13kJUOXH4CHq5uhtMpuaPpPVTA6bxsI8H,downloaded,28,101,retention.csv,1iNfWONkHpYd-OkMQp54pCPoMhJ0kjSFR,ok,ok,1mY8lMsRcEF6cD3vtPSB5squcZfU0Dt1W,whisper_segments.csv,transcripts,csv_timestamps,eLSgNBnpeRg
1afvQCG1HT15hUp30ylXjncO35xb2Ps79,downloaded,29,101,retention.csv,1K4An_MmIMWlftPI4FLfMzxJYfgO7BXXb,ok,ok,1AOQIhJFlSaAQH3xThtRTklmUKW15lhHr,whisper_segments.csv,transcripts,csv_timestamps,Fr4ZqY97Bco
1TVRa6O19b5BV2lAbWYFnb1MgYoK45Vkw,downloaded,30,101,retention.csv,13uwPXg6H_fAhdZXk-cLkPUBX-f1yI0rP,ok,ok,1WCADbsxFjkMfrC8n7uEm-fP46zW1NQnE,whisper_segments.csv,transcripts,csv_timestamps,fwHhuHVNR4I
1GLdWvs_AsmNrggiJWLSjVJKWHaOKp90w,downloaded,31,100,retention.csv,1XSEQUWBuOJRDeX8z3iHyT4wEQJfqy3o6,ok,ok,1QNSjU2uB5cQItIUr1pQCbS8t2AbcGLux,whisper_segments.csv,transcripts,csv_timestamps,FYbEJ3oRgFk
1BQ11CzHjMYKQ_8vHRtmmnAI_UxEYlPfw,downloaded,32,101,retention.csv,1sYr_Hl4vnUyQhi6ckDzJe8pBjYoScnSp,ok,ok,1GI1cYwHTV3cY4HVWi0dRjjFNLZOKIdvr,whisper_segments.csv,transcripts,csv_timestamps,FZ4waB-THOA
1pHvoXqbG9NumNHtj7R2IUp61zLPhH6d0,downloaded,33,101,retention.csv,1Y_Wvlk8_tRQ7gteHgGljuMccnTONAcjD,ok,ok,1ssRoCA4UenpyNFdMZ098yYNpZPfNOBam,whisper_segments.csv,transcripts,csv_timestamps,GfEdSBXxyHA
17zS4wBKxcwMrQzxj6_3IXbuqaOB4uHUe,downloaded,34,101,retention.csv,1aPX2D1MggYfq2lGhk1bvNRmU0re7w2RM,ok,ok,1x9XyUceO2ORLojPinRyIg8s45T3wOc0-,whisper_segments.csv,transcripts,csv_timestamps,gkSAR3jbMjA
1lG7bfsSdwOhDDbVScOJBC5RMbZ-bnjse,downloaded,35,101,retention.csv,1B6Wkoh_-1H1OeoqhG2r24wonezqhSSEz,ok,ok,1i5_yNIuFN7yQLHRisQBrBcFS4WyaklPy,whisper_segments.csv,transcripts,csv_timestamps,GthDbmZFW-w
1bJ2b39G4rkN7_CLVsDpNax5LTbMid9Yf,downloaded,36,101,retention.csv,1xdNhE_FQZuZKB2KvN6TkyPkB6UmvL-kM,ok,ok,1vcBkxA3nhLdk_PMzmwybhECJLQ7JuQ6j,whisper_segments.csv,transcripts,csv_timestamps,gYHHQNT6100
18dm5rOJWzY5vf27rHP1Qpyi_mdTiiTGh,downloaded,37,101,retention.csv,16kkZNn0now4TcZmnURFclXFPa3llqURF,ok,ok,1HI4EgZv-mtiUVasL89A47rV6B-t1RpvI,whisper_segments.csv,transcripts,csv_timestamps,hnyYg62DY4E
1YPtMYSTOejQvC68AccwxhMUFEF-w4z28,downloaded,38,101,retention.csv,1DH-j3q9ileAmg8ZtDxRe2WXhHz4JZlUz,ok,ok,1YpFpVNStmPPsP9B3anv8dB72cFclHGI4,whisper_segments.csv,transcripts,csv_timestamps,ib29EiVnmJM
1k-IGo4p3HqtNCtKQsCdDgh3kV9AYygqg,downloaded,39,101,retention.csv,1AsYiHNmRD-yg40Z4ogDWVJPqzuJzgeaE,ok,ok,1DfvYMMMUMXq5XvTwH1qHQnszTq3eHARh,whisper_segments.csv,transcripts,csv_timestamps,ie3vumn9Je4
1brfSdseDl3dBo6uMiG_JnGGuLSPDrExj,downloaded,40,101,retention.csv,1PvSpSuFMs8RQvHdsRRC1yqLyMRCYQiaV,ok,ok,1ZY8bO1SH68W0rFOlZtQ92OjkOAllSzLg,whisper_segments.csv,transcripts,csv_timestamps,IgJxh-fJTBU
1uLLwdL-gbFLhtmSflJC02fBCRl2R5nT9,downloaded,41,101,retention.csv,1vXSH9iU13e-4CQBfdJahHk8BSmJUPNWJ,ok,ok,18906j79Ku6APDOaNiVajL_qyPwcC-s8w,whisper_segments.csv,transcripts,csv_timestamps,iKGmIRAfmCM
1yaDOSZD0gaEPZWZOcHKI4fVcy0QSVtXl,downloaded,42,101,retention.csv,1ngTOjlLIRvm3YfZQ-_UnmAfPXj4FVZgr,ok,ok,1N7e_hJqcrich76vOJCTKZgyX1jVBVxjk,whisper_segments.csv,transcripts,csv_timestamps,iP_siVZjbzc
1H9PNqPd1jN7bMEKbWVWu9XBgrlE-1g0t,downloaded,43,101,retention.csv,1YBoue_K4vntKz8kiMbX6PoycWlDYdOBy,ok,ok,1Yt_a0_L_hI1hbdmn733iklJMkG0OeWcn,whisper_segments.csv,transcripts,csv_timestamps,jPVQgOI33V0
17nxWEeTWeyCs90Zlb8MghQDAZZ92sz83,downloaded,44,101,retention.csv,1IylsBZp7K73lhuhI_AYk-PMwEo2PZ91D,ok,ok,1IuYSV5kuk_Zu06MM2Gh0ZZrXRPVZIk3Y,whisper_segments.csv,transcripts,csv_timestamps,jTtvWTti3b0
15YD4IbEld4GQCPMVkJDqBzn_4znP-9nQ,downloaded,45,101,retention.csv,1dk53CYTwQaWNJ49GqkabkRqrnWkTJZCa,ok,ok,1MTN3-zbvbd47gpf-clqey8DEhCVWY9q_,whisper_segments.csv,transcripts,csv_timestamps,JXTBwlW02No
1Ce1h3s3kln5E8eEoFpywEyvFnxD_RJEw,downloaded,46,101,retention.csv,1bb9acbWTzhXzI6MdQy40cOXh-J-EA9Ml,ok,ok,13DqaTuEnmHfp5FFuGgSKd4GAPw7Yuman,whisper_segments.csv,transcripts,csv_timestamps,K5zVqoMMj3Y
1GSs-kLuWt45JJpSkerA0a_AOf7o-0tDL,downloaded,47,101,retention.csv,1fWWrkAwc3Bya30EW6I0uFtXKJ6-BMbou,ok,ok,15Qcqe5wk02axFTXeSXH9ecIc_m-W3vVS,whisper_segments.csv,transcripts,csv_timestamps,kifrPvJigCU
1bCrMFbjKABfMZqS4nW5V5UEiXBWtTeT9,downloaded,48,101,retention.csv,1TwXMXyfKHyRiOlzs6qpBtgBESJH1oK65,ok,ok,1cjxUJ7NZ84edo5J0RI1sCNFE-CNJhIaX,whisper_segments.csv,transcripts,csv_timestamps,lgeLlSArJXU
1aI1QdJgeTrEl1YbNstKLzZ9W_WEby74J,downloaded,49,101,retention.csv,19AsXuhyh2_lHyHMZjqIyeoulKoHUsulE,ok,ok,1NW9ykZaJqYzk7jWim-7C45C--e-qUVOp,whisper_segments.csv,transcripts,csv_timestamps,LH3DvvXTxzc
129slX69ZZACynXWuKd2jE5zFv_jC3QoM,downloaded,50,101,retention.csv,1bPyS3-ap5VPbKBFdLhCvGE0t8jwfXzoz,ok,ok,1bn4ovWV7Ke1nnF3sjlfAI0VbQ9XgVcf4,whisper_segments.csv,transcripts,csv_timestamps,lLoSngvynB8
1xXIiuA98s83JZ3Xo6j-vaQRebFgr9mLO,downloaded,51,101,retention.csv,1VMj5JcfpimgGMX3LqZkLlIVskMX-RyBz,ok,ok,1fhCWPEs6ywQxYP99hxO9AHZ60iaZo33x,whisper_segments.csv,transcripts,csv_timestamps,lYAEH2n3I58
1XnAc7LG5RqDlwHZOL3yUFi7g5dAbztGQ,downloaded,52,101,retention.csv,1SeIJ7EfXHm6s6KFcVJBe3aOPMCcWlNb5,ok,ok,1F0SEbZrWEHy_MGPeRLUQ-pjaziUHk2GB,whisper_segments.csv,transcripts,csv_timestamps,M0IdDCUNivM
