feature,cb_pvc,cb_lfc,cb_shap,spearman,pearson,mi,trans_attn,trans_grad,rank_cb_pvc,rank_cb_lfc,rank_cb_shap,rank_spearman,rank_pearson,rank_mi,rank_trans_attn,rank_trans_grad,avg_rank,n_methods,group
scene_novelty,3.5872831055253305,0.3394683805768774,0.2987893971518417,0.43761051765168685,0.4026780527437816,0.0,0.010451266542077065,0.0003702058456838131,6.0,7.0,11.0,7.0,6.0,52.0,45.0,52.0,23.25,8,visual_motion
frame,1.250323097486304,0.133996592286932,0.12040580317039544,0.356140350877193,0.4575167880600841,0.11175531984355547,0.009320740588009357,0.0004874550213571638,24.0,20.0,20.0,14.0,5.0,10.0,64.0,44.0,25.125,8,visual_motion
syntactic_depth,1.1924867524167657,0.17479687766581598,0.19045936090919774,0.3508771929824562,0.3075420467054706,0.023132027930789834,0.009855387732386589,0.0005539522971957922,25.0,18.0,17.0,15.0,10.0,24.0,52.0,40.0,25.125,8,text_complexity
topic_shift,1.3668309888432537,0.27100868525283006,0.2560904601774257,0.2771929824561403,0.35399986751408075,0.10095807615157537,0.009493178687989712,0.0002841901150532067,22.0,12.0,13.0,27.0,8.0,13.0,59.0,60.0,26.75,8,unknown
edit_pace,2.369565439437659,0.25792094305366475,0.27591140427988387,0.3701754385964912,0.19727898372189023,0.0,0.010607492178678513,0.00041014293674379587,10.0,13.0,12.0,12.0,25.0,52.0,42.0,50.0,27.0,8,visual_motion
hook_score_x_time_pct,1.994835244751648,0.3061302999658748,0.3258999913469665,0.38070175438596493,0.17650183377366016,0.0,0.009634869173169136,0.0005844731349498034,16.0,11.0,9.0,9.0,30.0,52.0,57.0,37.0,27.625,8,interaction
sentiment_polarity,1.3158097563281326,0.20507020678395044,0.22234404310025854,0.256140350877193,0.13279318351816274,0.0,0.013261290267109871,0.0009546398650854826,23.0,15.0,14.0,30.0,42.0,52.0,29.0,22.0,28.375,8,unknown
cinematic,1.0107118136605207,0.08382181238205844,0.10331697712494559,0.20175438596491227,0.30549539119261415,0.0,0.012669473886489868,0.0010483303340151906,28.0,27.0,23.0,37.0,11.0,52.0,30.0,20.0,28.5,8,visual_quality
beat_sync,3.3971718213274062,0.20141706839737583,0.2221249167123993,0.34094955993745885,0.23466075743484793,0.0,0.00944656040519476,0.0005146043840795755,7.0,16.0,15.0,17.0,21.0,52.0,60.0,42.0,28.75,8,audio_music
vocal_zcr,1.1365205501003297,0.0676775233293481,0.08267498889137623,0.34957203867186687,0.15691098890967983,0.04407365939873742,0.0227707177400589,0.00030883323051966727,26.0,39.0,31.0,16.0,35.0,22.0,7.0,57.0,29.125,8,audio_vocal
sharpness,1.9999428695323314,0.1894000845632945,0.20889642657541402,0.2982456140350877,0.16627916472791407,0.0,0.010353763587772846,0.0005951823550276458,15.0,17.0,16.0,23.0,32.0,52.0,47.0,35.0,29.625,8,visual_quality
vocal_rolloff,1.598410359843876,0.08599968945278602,0.09648952310532093,0.37886578492928585,0.15899268078705397,0.053327855495038934,0.011308293789625168,0.00013349969231057912,21.0,26.0,25.0,10.0,33.0,20.0,38.0,67.0,30.0,8,audio_vocal
disgust,0.8453759125078729,0.055535515454115614,0.07096282540074428,0.19683685934533707,0.0006503599993159174,0.025101601185192335,0.03644140064716339,0.00247911736369133,34.0,41.0,35.0,39.0,67.0,23.0,2.0,7.0,31.0,8,emotion
wps,0.6730300175215272,0.07813416125520031,0.09022200226735684,0.4666666666666667,0.35258710900597773,0.0,0.009425370022654533,0.0008185369661077857,39.0,32.0,28.0,5.0,9.0,52.0,61.0,26.0,31.5,8,audio_speech
ad_density_pct,2.0672368823801994,0.13186164816450052,0.11624104798183338,0.11137211017068302,0.27889514226988926,0.0,0.013289980590343475,0.000440055358922109,14.0,21.0,21.0,53.5,15.5,52.0,28.0,48.0,31.625,8,ad
filler_density,0.9436442729742588,0.04407397068247357,0.048803812022993796,0.16140350877192983,0.08433181848046518,0.13125709000322083,0.016291983425617218,0.0008532945066690445,30.0,42.0,43.0,47.0,49.0,6.0,15.0,25.0,32.125,8,unknown
fear,0.8158220792480142,0.12872120649657592,0.110528884678261,0.29749893166723296,0.08360198786322003,0.13874536196517706,0.010411576367914677,0.00031224614940583706,35.0,22.0,22.0,24.0,50.0,4.0,46.0,56.0,32.375,8,emotion
brightness,0.9974601736049042,0.09340215000170257,0.09521573748808766,0.1842105263157895,0.014816344694114063,0.0,0.01710081659257412,0.0011252723634243011,29.0,25.0,26.0,44.0,64.0,52.0,14.0,16.0,33.75,8,visual_quality
zcr,0.4338253698135999,0.07088709149803088,0.04923587094405196,0.368421052631579,0.3952422038847479,0.0,0.010568034835159779,0.0007219435065053403,46.0,37.0,42.0,13.0,7.0,52.0,44.0,31.0,34.0,8,audio_basic
music_zcr,2.1161600193306316,0.08140875498015315,0.08612960753638695,0.3319957909174155,0.15362522587619112,0.09205893435769608,0.008875593543052673,0.00028652988839894533,12.0,28.0,30.0,21.0,38.0,14.0,70.0,59.0,34.0,8,audio_music
beat_sync_ratio,0.7157279507586228,0.10271867532066215,0.09141780690717653,0.20913916305442065,0.20667720223177743,0.0,0.010290870442986488,0.0008061809348873794,37.0,23.0,27.0,36.0,24.0,52.0,48.0,28.0,34.375,8,audio_music
ad_segment_length,0.8624864273243884,0.07913987214544368,0.08085548329789971,0.09889843383156653,0.2966597299559725,0.0,0.013975992798805237,0.0005734952283091843,33.0,31.0,32.0,56.0,12.0,52.0,26.0,38.0,35.0,8,ad
vocal_rms,1.9576935572759409,0.06614993052101925,0.07893268558654677,0.28512579690554507,0.1329059311791539,0.1271354806184528,0.009834030643105507,0.00019313956727273762,17.0,40.0,33.0,26.0,41.0,8.0,53.0,63.0,35.125,8,audio_vocal
screencast_prob,0.7578213078301181,0.038654432893032775,0.045829110628997506,0.1842105263157895,0.19482756092323322,0.0,0.015376642346382141,0.0011635345872491598,36.0,45.0,45.0,44.0,27.0,52.0,21.0,14.0,35.5,8,visual_content
sad,0.13845372332193537,0.016426680231402313,0.02245159289391544,0.33962267420418635,0.19519728545639584,0.0,0.021439608186483383,0.0012838083785027266,56.0,58.0,57.0,18.0,26.0,52.0,8.0,13.0,36.0,8,emotion
cultural_ref_density,0.7107876826610756,0.07951523007874114,0.06140120321508019,0.15087719298245614,0.13920301653131772,0.006490993526597544,0.012542277574539185,0.0006883862079121172,38.0,30.0,39.0,50.0,40.0,28.0,31.0,32.0,36.0,8,unknown
is_ad_x_viewer_address,0.3395079896781458,0.03735693017560118,0.04573241751783245,0.15579616754090403,0.2757846834305045,0.0,0.017878295853734016,0.0011336085153743625,51.0,47.0,46.0,49.0,17.0,52.0,12.0,15.0,36.125,8,interaction
loudness_variance,1.0957263254145488,0.0412011742344805,0.04211831688546338,0.01754385964912281,0.06147169610669685,0.0,0.02975848875939846,0.0023024447727948427,27.0,43.0,47.0,63.0,53.0,52.0,4.0,8.0,37.125,8,audio_loudness
question_density,0.6388726963045731,0.08002995978657435,0.08665913405166926,0.007029887833762038,0.007582285943164454,0.0,0.020855993032455444,0.0015152535634115338,41.0,29.0,29.0,64.0,65.0,52.0,9.0,10.0,37.375,8,unknown
angry,0.28447031090323627,0.03914243638221826,0.036368527632341066,0.1974550431419688,0.0588402447593281,0.051328517543687724,0.014835651963949203,0.001067893230356276,52.0,44.0,49.0,38.0,54.0,21.0,23.0,19.0,37.5,8,emotion
music_rms,0.08971208232776395,0.020168719226511977,0.026801616703166393,0.2753612148197387,0.11385343380865497,0.18740277180679699,0.015974929556250572,0.0005633424734696746,59.0,55.0,55.0,28.0,45.0,1.0,18.0,39.0,37.5,8,audio_music
surprise,0.4111282852727896,0.07585213352849149,0.05162907675940186,0.19043441938580993,0.04058797759973903,0.16241000141928974,0.011147791519761086,0.000488542893435806,47.0,34.0,41.0,41.0,59.0,2.0,39.0,43.0,38.25,8,emotion
speech_complexity,0.8855798832070109,0.15093154971421296,0.16800638312539992,0.18771929824561404,0.05253572995409758,1.1102230246251565e-16,0.009546914137899876,0.00017687097715679556,32.0,19.0,18.0,42.0,55.0,31.0,58.0,65.0,40.0,8,text_complexity
rms,0.9160127306010696,0.03416668054072891,0.036056707427474737,0.2368421052631579,0.22746175232012525,0.0,0.011077096685767174,0.00048559167771600187,31.0,48.0,50.0,32.0,22.0,52.0,40.0,45.0,40.0,8,audio_basic
neutral,0.08821426392019509,0.011136248529406645,0.012255295198391455,0.24659940943508105,0.23769310419935166,0.0,0.018055319786071777,0.0008118545520119369,61.0,61.0,61.0,31.0,19.0,52.0,11.0,27.0,40.375,8,emotion
speech_ratio,0.2384590626686421,0.016472294391061043,0.020662053280014078,0.23630288647651335,0.14333895946298217,0.10770890616091933,0.01733492687344551,0.00020130694610998034,54.0,57.0,58.0,33.0,39.0,11.0,13.0,62.0,40.875,8,audio_speech
vocal_centroid,0.3476533305959043,0.022043766448556573,0.03560510224359801,0.3710541192606408,0.1571469144727374,0.06335291815168032,0.010592448525130749,0.00012799790420103818,50.0,54.0,52.0,11.0,34.0,19.0,43.0,68.0,41.375,8,audio_vocal
n_ad_segments,0.6052914086695314,0.07007940842927235,0.07062131362838868,0.04961424708896722,0.1689968096178028,0.0,0.009360261261463165,0.001098624779842794,43.0,38.0,36.0,59.0,31.0,52.0,62.0,17.0,42.25,8,ad
flow_mag_med,1.8167405815414177,0.07230499449673775,0.06403785902294848,0.04912280701754386,0.09485077318788795,0.0,0.009888374246656895,0.0005414318875409663,18.0,36.0,38.0,60.0,48.0,52.0,50.0,41.0,42.875,8,visual_motion
music_centroid,0.12140153587307174,0.029034380050546232,0.03599610135936192,0.33394870733457677,0.15506313715831163,0.13731849935410279,0.009704465977847576,8.634934783913195e-05,57.0,51.0,51.0,19.5,36.0,5.0,55.0,70.0,43.0625,8,audio_music
loudness_change,1.749074013365638,0.10203321513190683,0.09669830075110077,0.1087719298245614,0.039441399877486974,0.0,0.010266278870403767,0.000180498042027466,19.0,24.0,24.0,55.0,60.0,52.0,49.0,64.0,43.375,8,audio_loudness
music_only,0.4424728901477625,0.031501259598263526,0.040942265737995254,0.2968432954085127,0.10882136292691305,0.10567441244685827,0.009265279397368431,0.00013957649935036898,45.0,49.0,48.0,25.0,46.0,12.0,65.0,66.0,44.5,8,audio_music
hook_has_question,0.0,0.0,0.0,0.0,0.04194738912361281,0.01900584795321647,0.039389729499816895,0.005815267562866211,67.0,67.0,67.0,68.5,58.0,25.0,1.0,4.0,44.6875,8,hook
face_screen_ratio,0.36049078097343573,0.01931328425396489,0.025451174029671876,0.3080298673014713,0.13202576383432205,0.0,0.012416851706802845,0.0003230329602956772,49.0,56.0,56.0,22.0,43.0,52.0,32.0,54.0,45.5,8,visual_content
time_pct,0.0,0.0,0.0,0.043033148291193514,0.015144356118573081,1.1102230246251565e-16,0.025199219584465027,0.013321718201041222,67.0,67.0,67.0,61.0,63.0,31.0,6.0,3.0,45.625,8,temporal
happy,0.6267714788560357,0.07234932651326478,0.06472680272106292,0.22378238222756464,0.07143993664388892,0.0,0.009735843166708946,0.0003031481464859098,42.0,35.0,37.0,35.0,52.0,52.0,54.0,58.0,45.625,8,emotion
visual_entropy,0.08730897231642037,0.012845272507863048,0.013399307859956786,0.07368421052631578,0.23538440406267747,0.0,0.0114222327247262,0.000871457566972822,62.0,59.0,60.0,57.0,20.0,52.0,36.0,24.0,46.25,8,visual_quality
edit_pace_x_screencast,0.02506131861281531,0.009699217527745496,0.011704499639569564,0.15964912280701754,0.042798603435772145,0.0,0.016024427488446236,0.0013143299147486687,63.0,62.0,62.0,48.0,57.0,52.0,16.0,12.0,46.5,8,interaction
hook_has_address,0.0,0.0,0.0,0.23570226039551584,0.28595586632156844,0.0,0.01570381410419941,0.00032841440406627953,67.0,67.0,67.0,34.0,14.0,52.0,19.0,53.0,46.625,8,hook
pitch_std,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.030555445700883865,0.02168024145066738,67.0,67.0,67.0,68.5,69.0,31.0,3.0,1.0,46.6875,8,audio_speech
silence_stretch,0.0,0.0,0.0,0.2581988897471611,0.10734417967355055,0.0,0.013647016137838364,0.0010701599530875683,67.0,67.0,67.0,29.0,47.0,52.0,27.0,18.0,46.75,8,audio_speech
pitch_mean,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.02823086455464363,0.017470864579081535,67.0,67.0,67.0,68.5,69.0,31.0,5.0,2.0,47.0625,8,audio_speech
bumper_score,0.24545836695235493,0.02520627445525822,0.03531938674129528,0.028070175438596492,0.0021117362393683046,0.08790387888685158,0.01423144806176424,0.00039398984517902136,53.0,53.0,53.0,62.0,66.0,15.0,25.0,51.0,47.25,8,visual_content
radial_med,0.37214616122739824,0.03856562144844361,0.05722732929489418,0.07017543859649124,0.04352052296907442,0.0,0.01190386526286602,0.0004300792352296412,48.0,46.0,40.0,58.0,56.0,52.0,34.0,49.0,47.875,8,visual_motion
music_rolloff,0.08859054885102847,0.011257290250601376,0.019870774473329692,0.33394870733457677,0.15415007567153838,0.0776080343804808,0.00934594962745905,0.00011937959789065644,60.0,60.0,59.0,19.5,37.0,17.0,63.0,69.0,48.0625,8,audio_music
voiced_frac,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.019751328974962234,0.005547231994569302,67.0,67.0,67.0,68.5,69.0,31.0,10.0,5.0,48.0625,8,audio_speech
lexical_diversity,0.5950379250495812,0.07617676301974563,0.07236196106910509,0.005263157894736842,0.024469931447634985,0.0,0.009078210219740868,0.0004612378543242812,44.0,33.0,34.0,66.0,62.0,52.0,68.0,47.0,50.75,8,text_complexity
avg_word_length,0.6467429912748682,0.03022223817207484,0.04627010127976147,0.1280701754385965,0.03037297596977149,0.0,0.009258709847927094,0.0004815951397176832,40.0,50.0,44.0,52.0,61.0,52.0,67.0,46.0,51.5,8,text_complexity
is_ad,0.09933208520733652,0.006733999777108757,0.00943471190184532,0.11137211017068302,0.27889514226988926,0.0,0.009873843751847744,0.00021213582658674568,58.0,63.0,63.0,53.5,15.5,52.0,51.0,61.0,52.125,8,ad
speaker_prob,0.14680403199063746,0.026492213186448427,0.026994312966608505,0.19218957532484962,0.11522201766745174,0.0,0.009034091606736183,0.0003182052751071751,55.0,52.0,54.0,40.0,44.0,52.0,69.0,55.0,52.625,8,visual_content
