feature,importance
out__audio_topic_shift__trend,0.13847586419296823
out__n_chapters__max,0.13744065844407824
out__visual_topic_shift__q75,0.1367572743079528
out__radial_med__mean,0.13575312816603388
interval_label_mean__quick_tip,0.13500550753849078
out__audio_hook_similarity__trend,0.13366226131363904
out__lexical_diversity__q25,0.13360389873294884
out__wps__mean,0.13339045899783147
out__loudness_variance__q75,0.1306354327026518
out__loudness_variance__q25,0.1305032858162174
out__beat_sync__std,0.12874676646010966
out__scene_novelty__trend,0.12863113668591408
out__unique_classes__q25,0.12806213529166144
out__speech_complexity__median,0.12697551704393784
out__object_count__median,0.12510061066053965
interval_label_mean__solution_simple,0.12464401889798364
out__scene_novelty__median,0.12403651237238762
out__loudness_change__q75,0.12213593300140237
out__beat_sync__max,0.12181561705739267
out__visual_hook_similarity__q75,0.12180522155309521
out__zcr__std,0.11316161295974585
out__brightness__q75,0.11306598822572021
out__speech_complexity__mean,0.11112246867065945
out__object_count__q25,0.11074079076445799
out__beat_sync__trend,0.11073684825500198
out__lexical_diversity__q75,0.11055037666770505
out__curiosity_gap__max,0.10877334891309438
out__depth_variance__max,0.10817847722073036
out__n_ad_segments__median,0.10702596471680852
out__question_density__max,0.10668929486849858
out__storytelling__trend,0.10570800181712767
out__beat_sync_ratio__trend,0.10539276291981703
out__speaker_prob__q75,0.10463928467463887
out__ad_segment_length__max,0.10312516397955906
out__topic_shift__trend,0.10239696061419733
out__zcr__mean,0.10217394529349554
out__text_prob__q75,0.10070726104329146
out__overlay_prob__median,0.10055924347848995
out__speech_complexity__trend,0.10045127235352141
out__sharpness__max,0.0981736203214589
out__wps__std,0.09757105027102576
out__ad_density_percent__std,0.09655134015596285
out__hook_score__median,0.09638221505985249
out__scene_novelty__q25,0.0943743526783216
out__lexical_diversity__min,0.09285572391125148
out__pause_rate__median,0.09243740740609085
out__avg_word_length__q75,0.09054143612724817
out__loudness_change__median,0.09020688721579805
out__hook_score__q25,0.08948740084639091
out__crutch_cnt__q75,0.08653954462068536
out__edit_pace_x_screencast__max,0.08594400149625618
out__speaker_prob__q25,0.08568731009120782
out__question_density__median,0.08548551272304473
out__ekman_joy__trend,0.08537555383110398
out__viewer_address__max,0.08383773982764625
out__question_density__q75,0.08351051200314252
out__cultural_ref_cnt__q75,0.08349309083194703
out__speech_rate_cv__q75,0.08336191273108574
out__crutch_cnt__trend,0.08311568214544307
out__audio_self_similarity__median,0.08289877173022574
out__scene_novelty__q75,0.08190034269604905
out__overlay_prob__mean,0.08148957158367577
out__beat_sync_ratio__mean,0.0786383195800571
out__zcr__q25,0.07548842082257125
out__n_chapters__min,0.07486221245936911
out__speech_complexity__q75,0.07360535306987126
out__segment_self_similarity__max,0.07313559085784667
out__voiced_frac__q75,0.07304156538431195
out__edit_pace_x_screencast__std,0.07178143784198425
out__visual_hook_similarity__min,0.07056981156460115
out__has_example__q75,0.06997318092605696
out__question_density__trend,0.0688560158398928
out__ad_density_percent__median,0.06876665480335815
out__audio_self_similarity__q75,0.0683262945087283
out__visual_self_similarity__std,0.06824722830855481
out__n_ad_segments__min,0.06745855709745825
out__viewer_address__std,0.06700610580624507
out__crutch_cnt__std,0.06552033526176759
out__hook_has_address__mean,0.06498814154916864
out__ad_density_percent__max,0.06420459794084582
out__syntactic_depth__min,0.0638077189365938
out__audio_momentum__trend,0.06234504198053582
out__syntactic_depth__max,0.06228877571161611
out__ad_segment_length__std,0.06212787506538161
out__avg_word_length__max,0.06199148047769647
out__hook_has_address__q25,0.06116473255092273
out__chapter_id__q25,0.060874764603080056
out__chapter_id__median,0.06065124614891143
out__lexical_diversity__median,0.060633667128067115
out__question_density__mean,0.060247493168425294
out__wps__max,0.05980565609073167
out__syntactic_depth__q75,0.05952055095565621
out__avg_word_length__q25,0.0594352389557395
out__speaker_prob__mean,0.059304855794271326
out__hook_score__q75,0.05900251301916237
out__depth_variance__q75,0.058804179742235986
out__object_count__trend,0.05770300697383503
out__scene_novelty__std,0.056786705965202314
out__beat_sync__mean,0.05571829566109445
out__depth_mean__trend,0.055347709681590716
out__edit_pace_x_screencast__trend,0.05496869229698398
out__voiced_frac__min,0.054701879528891
out__has_example__mean,0.05469406116262384
out__object_count__q75,0.05436684421964888
out__pitch_mean__min,0.05318055902905632
out__lexical_diversity__max,0.052930174889286585
out__semantic_novelty__trend,0.05284079488788288
out__chapter_id__max,0.052823747628590885
out__hook_score__min,0.05228710014027573
out__visual_momentum__max,0.05197339256616882
out__visual_topic_shift__max,0.051734415127799485
out__unique_classes__mean,0.05132658268099478
out__storytelling__max,0.050615317134904934
out__speech_complexity__std,0.05061475581928818
out__crutch_cnt__max,0.05007090560170037
out__wps__q75,0.049902248730709586
out__segment_self_similarity__q25,0.04982283575308384
out__hook_similarity__trend,0.0494996792865478
out__has_example__std,0.049474125610067594
out__hook_similarity__q75,0.04883619217430749
out__is_ad__mean,0.04844040410261041
out__ad_segment_length__mean,0.04822925617585062
out__lexical_diversity__std,0.048024410676743956
out__ekman_joy__min,0.04781638416943974
out__semantic_novelty__median,0.047389703183653126
out__hook_score__mean,0.047307563016761436
out__cumulative_info__min,0.04663801421418158
out__is_ad__std,0.04602168175204761
out__is_ad__trend,0.04519501627494724
out__semantic_novelty__max,0.04509302690366287
out__ekman_excitement__std,0.04507957176747177
out__storytelling__q75,0.04485601661505374
out__n_ad_segments__max,0.04425281976145533
out__viewer_engagement__trend,0.04399959166356014
out__text_prob__median,0.04391496283508132
out__audio_hook_similarity__mean,0.04385498860883606
out__audio_topic_shift__max,0.04356211379805614
out__visual_momentum__trend,0.04351805728654646
out__hook_score__trend,0.04344752374813165
out__aesthetic_score__trend,0.042912935437586314
out__object_count__mean,0.04283660492527229
out__visual_momentum__mean,0.04278476393034896
out__visual_topic_shift__trend,0.04235172488485298
out__ekman_sadness__trend,0.04224194344481398
out__n_ad_segments__q75,0.04142548350913884
out__segment_self_similarity__trend,0.04095731901212113
out__hook_has_address__trend,0.0398351804316183
out__audio_novelty__q75,0.03903551582725625
out__topic_change_rate__max,0.03870473263208195
out__has_example__trend,0.03855909304686538
out__topic_shift__min,0.03847991309088831
out__speech_complexity__max,0.038189635656201974
out__question_density__std,0.03808939260788899
out__ekman_neutral__trend,0.03799849477928055
out__n_chapters__trend,0.0379416671869192
out__chapter_id__trend,0.037856993034689264
out__edit_pace_x_screencast__mean,0.037556290407173225
out__visual_self_similarity__q75,0.0372129175376433
out__hook_similarity__std,0.03687208548180027
out__visual_topic_shift__median,0.03681932850128613
out__semantic_momentum__q75,0.03661670100941789
out__beat_sync_ratio__std,0.03609139758315665
out__semantic_momentum__min,0.035960453478589505
out__visual_hook_similarity__max,0.03455277470252151
out__ekman_intensity__min,0.03393269928773477
out__audio_self_similarity__min,0.033504274005467835
out__topic_change_rate__trend,0.03330377912532082
out__ekman_joy__q75,0.033158672240152065
out__lexical_diversity__mean,0.03248137600464645
out__audio_momentum__q75,0.032395797788931834
out__aesthetic_score__q75,0.03235780746992593
out__audio_topic_shift__median,0.0323402212563891
out__semantic_novelty__q75,0.03222095336751861
out__avg_word_length__std,0.032205447770715004
out__depth_variance__min,0.031888469297176064
out__syntactic_depth__trend,0.03145414324064446
out__crutch_cnt__mean,0.031031374206288324
out__ekman_intensity__trend,0.030331070364402423
out__wps__q25,0.029759292503942485
out__ekman_intensity__q25,0.02973493330608066
out__object_count__max,0.0293695306809672
out__ekman_intensity__max,0.02906322965920946
out__segment_self_similarity__std,0.0290601412929672
out__visual_self_similarity__trend,0.028227462200897904
out__speech_complexity__min,0.028163817330878534
out__cumulative_info__median,0.027187720441773717
out__has_example__median,0.027058309322333808
out__scene_novelty__mean,0.02704018439302053
out__hook_similarity__max,0.027020460557034227
out__audio_momentum__std,0.026683148313596215
out__ad_density_percent__q75,0.026539810091800956
out__semantic_momentum__trend,0.02645165858651586
out__wps__median,0.026323416819735372
out__object_count__std,0.026223108435144048
out__depth_mean__max,0.026196591152616817
out__audio_hook_similarity__max,0.026029342292079677
out__avg_word_length__mean,0.0254688300681923
out__visual_hook_similarity__q25,0.025340161259482154
out__audio_momentum__max,0.025313487145200247
out__audio_hook_similarity__q25,0.025296960108757226
out__is_outro__mean,0.02527284571230366
out__information_density__max,0.024860492248795
out__depth_mean__min,0.024848241813228856
out__hook_score__max,0.02443211825858329
out__ekman_sadness__max,0.024410892540334485
out__audio_topic_shift__q25,0.02417330534811003
out__visual_hook_similarity__std,0.02352103356433285
out__depth_variance__std,0.02350043873742919
out__avg_word_length__trend,0.023443338789415263
out__visual_momentum__q75,0.02330857092337658
out__audio_hook_similarity__q75,0.023206049381747904
out__wps__trend,0.02314001438091932
out__ad_segment_length__trend,0.023030625578218413
out__is_question__trend,0.022843074262891505
out__aesthetic_score__median,0.02282914066779511
out__topic_change_rate__q75,0.022722890364908717
out__ekman_sadness__std,0.0226240481655181
out__depth_mean__std,0.022614922328311235
out__ekman_excitement__trend,0.022520678920549
out__semantic_novelty__std,0.02220801136185244
out__audio_self_similarity__q25,0.022194612130826102
out__cultural_ref_cnt__min,0.02219383344116116
out__cultural_ref_cnt__std,0.021811923588987474
out__semantic_momentum__mean,0.021451137851608213
out__ad_density_percent__mean,0.0213800483513878
out__ad_density_percent__min,0.021186580355253597
out__is_question__max,0.02117461991487452
out__syntactic_depth__q25,0.02104359349619877
out__aesthetic_score__max,0.020666714914708458
out__ekman_joy__q25,0.020639808437628686
out__depth_variance__trend,0.02043432000943747
out__topic_shift__max,0.02027155429506336
out__visual_momentum__median,0.020212270683342873
out__semantic_momentum__max,0.02019303855043871
out__visual_hook_similarity__trend,0.020122167382723457
out__is_outro__trend,0.019620210264426723
out__curiosity_gap__mean,0.019567371049021762
out__is_outro__std,0.01946230400562819
out__aesthetic_score__min,0.019372199470182302
out__audio_momentum__q25,0.019150165537104986
out__visual_topic_shift__mean,0.01881347074135968
out__topic_shift__q75,0.01871966662829387
out__audio_self_similarity__std,0.018653582436406142
out__syntactic_depth__mean,0.018434047338010233
out__is_intro__std,0.018420992917763175
out__lexical_diversity__trend,0.018192994993399495
out__audio_novelty__min,0.018186413017913943
out__segment_self_similarity__mean,0.018062452943738455
out__visual_self_similarity__q25,0.017800249823075907
out__syntactic_depth__median,0.017556664705089427
out__syntactic_depth__std,0.017455284356423857
out__audio_novelty__median,0.017424454011303638
out__ekman_joy__max,0.017404371513387498
out__is_outro__max,0.01740110477784611
out__viewer_engagement__q75,0.01734798146753363
out__audio_hook_similarity__std,0.017250175409580345
out__visual_topic_shift__std,0.017243392062664894
out__viewer_engagement__q25,0.017112007421210447
out__ekman_neutral__median,0.01705660447077218
out__ekman_intensity__q75,0.016909035179611752
out__ekman_joy__std,0.016895690658349078
out__visual_topic_shift__q25,0.016691540130727305
out__information_density__min,0.016224535460812595
out__curiosity_gap__trend,0.016172980405946478
out__aesthetic_score__q25,0.016013316955817817
out__ekman_joy__mean,0.015956895790399366
out__ekman_neutral__mean,0.015827050784425152
out__is_question__mean,0.015655011428575824
out__audio_novelty__q25,0.015261666878821134
out__segment_self_similarity__q75,0.015038791587360935
out__information_density__q75,0.014747607999163331
out__semantic_momentum__q25,0.0146464336978851
out__curiosity_gap__std,0.014564086603296188
out__ekman_neutral__q25,0.014548399835119224
out__avg_word_length__min,0.014248407442588719
out__storytelling__median,0.01371797551601449
out__audio_novelty__mean,0.013577303892654418
out__unique_classes__trend,0.01352749267982599
out__is_intro__trend,0.013463344336838604
out__hook_similarity__median,0.013310535188588993
out__audio_novelty__std,0.013110548918501021
out__topic_change_rate__std,0.01295744982612059
out__depth_mean__mean,0.012728676713496664
out__is_question__std,0.012719352936408463
out__ekman_neutral__std,0.012507969749861462
out__visual_self_similarity__min,0.012389049912829951
